key,statusCode,name,errorMessage,details,documentationLink
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2f(IRI-07-SD)%2520FeedwaterSystem.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2f(IRI-07-SD)%2520FeedwaterSystem.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2f(IRI-07-SD)%2520FeedwaterSystem.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2f(IRI-07-SD)%2520FeedwaterSystem.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','The response ended prematurely. (ResponseEnded)','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fBB_Boiler-Feed-Systems_Jan11.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fBB_Boiler-Feed-Systems_Jan11.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fBB_Boiler-Feed-Systems_Jan11.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fBB_Boiler-Feed-Systems_Jan11.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','The response ended prematurely. (ResponseEnded)','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fBoiler-Feed-OM-Manual.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fBoiler-Feed-OM-Manual.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fHST-EPR-Pump-manual-english.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fHST-EPR-Pump-manual-english.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fMHDE-Operating-Maintenance-Manual-General.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fMHDE-Operating-Maintenance-Manual-General.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fManual-Boiler-Feed-IND.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fManual-Boiler-Feed-IND.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fOPERATING%2520MANUALS%2520-%2520Utility%2520Boilers%2520Rev%252001%2520web.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fOPERATING%2520MANUALS%2520-%2520Utility%2520Boilers%2520Rev%252001%2520web.pdf','400','Enrichment.AzureOpenAIEmbeddingSkill.AzureOpenAIEmbeddingSkill','Could not execute skill because the Web Api request failed.','Web Api response status: 'TooManyRequests'_ Web Api response details: '{"error":{"code":"RateLimitReached","message": "Your requests to text-embedding-3-large for text-embedding-3-large in Sweden Central have exceeded the call rate limit for your current AIServices S0 pricing tier. This request was for Embeddings_Create under Azure OpenAI API version 2023-05-15. Please retry after 60 seconds. To increase your default rate limit, visit: https://aka.ms/oai/quotaincrease."}}'','https://go.microsoft.com/fwlink/?linkid=2106475'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fPrecision-Boilers-CF-OM-Manual.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fPrecision-Boilers-CF-OM-Manual.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fPumps-for-PowerPlant.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fPumps-for-PowerPlant.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fboiler-manual-clayton-e__100_.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fboiler-manual-clayton-e__100_.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fmhd.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fmhd.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fmhg_mhb.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fmhg_mhb.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fmmk-E_mml-E.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fmmk-E_mml-E.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'
'localId=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fmmk_mml.pdf&documentKey=https%3a%2f%2fstpumpsmanuals279.blob.core.windows.net%2fpumps-manuals%2fmmk_mml.pdf','400','Enrichment.ChatCompletionSkill.GenAISkill','Could not execute skill because Web Api skill response is invalid. For more information_ please see https://go.microsoft.com/fwlink/?linkid=2325488','Request failed with status code NotFound: {"error":{"code":"404"_"message": "Resource not found"}}','https://go.microsoft.com/fwlink/?linkid=2106476'